57,MANSARD,4.05,4.05,4.2,4.09,2.62,4.15,0.1,2.47,49,"4,197,010","17,224,711.90"
58,MAYBAKER,5.1,5.1,-,-,-,5.1,-,-,18,"111,557","573,364.85"
59,MBENEFIT,0.43,0.43,0.44,0.42,4.55,0.42,-0.01,-2.33,28,"9,218,214","3,985,979.76"
60,MCNICHOLS,0.66,0.66,0.66,0.66,-,0.66,-,-,12,"303,000","199,980.00"
61,MEYER,3.04,3.04,-,-,-,3.04,-,-,3,"5,658","16,937.72"
62,MRS,109.95,109.95,-,-,-,109.95,-,-,8,"1,762","174,438.00"
63,MTNN,250,250,250,250,-,250,-,-,204,"1,003,991","250,943,446.90"
64,MULTIVERSE,2.95,2.95,-,-,-,2.95,-,-,8,"35,381","104,407.04"
65,NAHCO,23.85,23.85,24,23.9,0.42,24,0.15,0.63,72,"1,755,810","42,004,825.55"
66,NASCON,52,52,-,-,-,52,-,-,48,"268,408","14,249,516.70"
67,NB,42,42,-,-,-,42,-,-,49,"190,914","7,565,971.85"
68,NCR,3.96,3.96,-,-,-,3.96,-,-,1,"6,000","21,660.00"
69,NEIMETH,1.66,1.66,1.59,1.59,-,1.59,-0.07,-4.22,13,"163,200,852","259,494,285.22"
70,NEM,5,5,-,-,-,5,-,-,8,"51,365","257,059.80"
71,NESTLE,"1,025.00","1,025.00",-,-,-,"1,025.00",-,-,63,"42,919","43,286,543.00"
72,NGXGROUP,22.5,22.5,24,22.5,6.25,22.5,-,6.67,79,"8,856,432","206,904,813.05"
73,NIDF,108.4,108.4,-,-,-,108.4,-,-,12,"31,782","3,551,450.90"
74,NNFM,15.25,15.25,-,-,-,15.25,-,-,2,"4,962","71,949.00"
75,NPFMCRFBK,1.97,1.97,-,-,-,1.97,-,-,16,"79,055","147,291.25"
76,NSLTECH,0.3,0.3,-,-,-,0.3,-,-,3,"49,000","13,725.00"
77,OANDO,9.9,9.9,10,9.1,9,9.1,-0.8,-8.08,275,"5,118,971","49,031,017.55"
78,OKOMUOIL,263,263,-,-,-,263,-,-,50,"810,985","191,965,594.50"
79,OMATEK,0.48,0.48,0.44,0.44,-,0.44,-0.04,-8.33,22,"1,593,144","703,604.38"
80,PRESCO,182,182,-,-,-,182,-,-,27,"38,281","6,865,603.10"
81,PRESTIGE,0.45,0.45,-,-,-,0.45,-,-,10,"74,475","33,239.48"
82,PZ,19.75,19.75,-,-,-,19.75,-,-,43,"507,156","10,536,405.20"
83,REDSTAREX,2.91,2.91,-,-,-,2.91,-,-,4,"48,442","145,380.00"
84,REGALINS,0.35,0.35,-,-,-,0.35,-,-,4,"153,668","57,017.64"
85,ROYALEX,0.48,0.48,0.47,0.47,-,0.47,-0.01,-2.08,12,"375,455","179,228.46"
86,RTBRISCOE,0.57,0.57,-,-,-,0.57,-,-,5,"104,725","54,457.00"
87,SCOA,1.14,1.14,1.14,1.14,-,1.14,-,-,4,"165,463","188,627.82"
88,SEPLAT,"1,837.00","1,837.00",-,-,-,"1,837.00",-,-,17,"30,340","50,256,066.60"
89,SFSREIT,92.15,92.15,-,-,-,92.15,-,-,8,"1,228","121,959.30"
90,SKYAVN,25.35,25.35,-,-,-,25.35,-,-,1,21,525
91,SOVRENINS,0.38,0.38,-,-,-,0.38,-,-,5,"106,700","42,455.00"
92,STANBIC,80,80,-,-,-,80,-,-,36,"30,076","2,206,270.65"
93,STERLINGNG,3.4,3.4,3.5,3.4,2.86,3.4,-,2.94,56,"2,966,325","10,190,028.51"
